query,title,url,source,seendate,year
International Yoga Day,International Yoga Day 2023 celebrations live updates,https://www.financialexpress.com/lifestyle/international-yoga-day-2023-celebrations-live-updates-in-india-new-york-latest-updates-on-pm-modi-yoga-day/3134000/,,20230621T034500Z,2023
International Yoga Day,"Sound mind resides in a sound body ! Improve physical , mental and spiritual health - Amazing benefits of yoga",https://www.financialexpress.com/lifestyle/sound-mind-resides-in-a-sound-body-improve-physical-mental-and-spiritual-health-amazing-benefits-of-yoga/3135400/,,20230621T084500Z,2023
International Yoga Day,"International Yoga day LIVE :  Yoga , a source of strength , harmony and peace , says UN chief",https://www.hindustantimes.com/india-news/international-yoga-day-live-updates-international-day-of-yoga-june-21-9th-yoga-day-celebrations-pm-modi-at-unhq-101687305011951.html,,20230621T010000Z,2023
International Yoga Day,Dozens take part locally in celebrating International Day of Yoga,https://windsorstar.com:443/news/local-news/dozens-take-part-locally-in-celebrating-international-day-of-yoga,,20230625T153000Z,2023
International Yoga Day,இன்று சர்வதேச யோகா தினம் : யோகா செய்வதால் கிடைக்கும் பலன்கள் ... ,https://www.maalaimalar.com:443/health/fitness/international-yoga-day-yoga-benefits-625026,,20230621T010000Z,2023
International Yoga Day,"International Yoga Day Programs : Chief Ministers , Union Ministers participate | சர்வதேச யோகா தின நிகழ்ச்சிகள் : முதல்வர்கள் , மத்திய அமைச்சர்கள் பங்கேற்பு",https://www.dinamalar.com/news_detail.asp?id=3353969,,20230621T040000Z,2023
International Yoga Day,ಭಾರತವಿಡೀ ಯೋಗಮಯ : ದೇಶದ ವಿವಿಧ ಸ್ಥಳಗಳಲ್ಲಿ ಅಂತಾರಾಷ್ಟ್ರೀಯ ಯೋಗ ದಿನಾಚರಣೆ,https://www.udayavani.com/news-section/national-news/world-yoga-day-7,,20230622T030000Z,2023
International Yoga Day,Indian Army performs yoga in Rajasthan on 9th International Yoga Day,http://aninews.in/news/national/general-news/indian-army-performs-yoga-in-rajasthan-on-9th-international-yoga-day20230621094647/,,20230621T054500Z,2023
International Yoga Day,അന്തരാഷ്ട്ര യോഗ ദിനം : വിപുല ആഘോഷ പരിപാടികളുമായി റിയാദ് ഇന്ത്യൻ എംബസി | International Yoga Day : Indian Embassy in Riyadh with Elaborate Celebrations,https://www.madhyamam.com/gulf-news/saudi-arabia/international-yoga-day-indian-embassy-in-riyadh-with-elaborate-celebrations-1171909,,20230617T111500Z,2023
International Yoga Day,AAI celebrates 9th International Yoga Day at Rajiv Gandhi Bhawan,https://news.webindia123.com/news/Articles/India/20230621/4091110.html,,20230621T103000Z,2023
International Yoga Day,"नन्दी केशर बगैँचामा १ सय ८ सूर्य नमस्कार , तस्बिरहरू | News from Nepal",https://www.ratopati.com/story/369639/yoga,,20230621T041500Z,2023
International Yoga Day,International Yoga Day : Union Minister Smriti Irani performs yoga at Noida indoor stadium in UP,http://aninews.in/news/national/general-news/international-yoga-day-union-minister-smriti-irani-performs-yoga-at-noida-indoor-stadium-in-up20230621084831/,,20230621T074500Z,2023
International Yoga Day,International Yoga Day : BSF jawans perform Yoga at Fulbari in Siliguri,https://news.webindia123.com/news/Articles/India/20230621/4090707.html,,20230621T060000Z,2023
International Yoga Day,Even being healthy is a great service to the nation : Madhya Pradesh Chief Minister speech | ஆரோக்கியமுடன் இருப்பது கூட நாட்டுக்கு செய்யும் பெரிய சேவை : மத்திய பிரதேச முதல் - மந்திரி பேச்சு,https://www.dailythanthi.com:443/News/India/even-being-healthy-is-a-great-service-to-the-nation-madhya-pradesh-chief-ministers-speech-991215,,20230621T084500Z,2023
