video_id,title,channel,upload_date,duration,view_count
NRukKF7Or1o,Yoga Day 2025 | 11th Yoga Day Celebrations: Nation Unites In Yoga Bliss,NDTV,20250621,342,31948
1W5pKg3bbss,"International Yoga Day 2025 | Celebrated at GIET University, Gunupur | Yoga for Wellness & Harmony",GIET University Gunupur,20250621,26,468
rvqx3ykMPUw,Celebrating International Yoga Day 2025 | Yoga with Nivedita – Breathe | Align | Elevate,Nivedita Pradhan,20260510,309,70
UtZhEoHiido,International Yoga Day,The Lyrical Lanterns,20250506,198,96
w00785UPnbw,11th International Yoga day 2025,OM YOGA GROUP MORBI,20250620,328,1920
5zV7Wb_cKCk,International Yoga Day - 2025 #yogasehoga #yogaday,Women's Dhamal with Little Stars,20250615,32,585
EUpZera75k8,World Meditation day & Yoga Highlights 2025,Buddha-CEO,20260510,118,288
IjxKPrNP3vQ,Gurudev’s Message on the Power of Yoga | Yoga Day 2025 Colombia,Gurudev's World,20250623,569,2312
euediogFLv4,Yoga Day Speech in English 2025 | International Day of Yoga Speech in English 2025 | Yoga Day Theme,Swati Dey,20250617,208,1223
R3BwAGO5gM4,"Mindful Earth, Peaceful People | International Yoga Day 2025 #yoga",EVAULTO,20250617,72,929
Sjcx36ylebg,Irisian celebrating International Yoga Day 2025,IRIS INTERNATIONAL SCHOOL,20250623,286,696
C1KafektaEc,International Day Of Yoga 2025,TTT Live Online,20250621,164,565
2w-hnpJLI0g,INTERNATIONAL  YOGA DAY - 2025,Sai Angels Chikmagalur,20250621,47,907
