video_id,entity,label
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,India,GPE
HGXXOaEQEa0,Germany,GPE
HGXXOaEQEa0,German,NORP
HGXXOaEQEa0,Germany,GPE
HGXXOaEQEa0,German,NORP
HGXXOaEQEa0,Germany,GPE
HGXXOaEQEa0,German Germany,GPE
HGXXOaEQEa0,Germany,GPE
HGXXOaEQEa0,Germany,GPE
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,first,ORDINAL
HGXXOaEQEa0,first,ORDINAL
HGXXOaEQEa0,first,ORDINAL
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,Michelle,PERSON
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,Michelle,PERSON
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,Michelle,PERSON
HGXXOaEQEa0,Michelle,PERSON
HGXXOaEQEa0,Michelle,PERSON
HGXXOaEQEa0,Michelle,PERSON
HGXXOaEQEa0,the next half an hour,DATE
HGXXOaEQEa0,the next half an hour,DATE
HGXXOaEQEa0,the next half an hour,DATE
HGXXOaEQEa0,Stillness,NORP
HGXXOaEQEa0,Stillness,NORP
HGXXOaEQEa0,Stillness,NORP
HGXXOaEQEa0,morning,TIME
HGXXOaEQEa0,morning,TIME
HGXXOaEQEa0,morning,TIME
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,thousands,CARDINAL
HGXXOaEQEa0,thousands,CARDINAL
HGXXOaEQEa0,thousands,CARDINAL
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,this morning,TIME
HGXXOaEQEa0,Michelle,PERSON
HGXXOaEQEa0,Michelle,PERSON
HGXXOaEQEa0,Michelle,PERSON
HGXXOaEQEa0,Natasha,ORG
HGXXOaEQEa0,Natasha,ORG
HGXXOaEQEa0,Natasha,ORG
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,British,NORP
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,INB,ORG
HGXXOaEQEa0,INB,ORG
HGXXOaEQEa0,INB,ORG
HGXXOaEQEa0,Indian,NORP
HGXXOaEQEa0,Indian,NORP
HGXXOaEQEa0,Indian,NORP
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,a few inches,QUANTITY
HGXXOaEQEa0,a few inches,QUANTITY
HGXXOaEQEa0,a few inches,QUANTITY
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,half,CARDINAL
HGXXOaEQEa0,half,CARDINAL
HGXXOaEQEa0,half,CARDINAL
HGXXOaEQEa0,Sunburst,ORG
HGXXOaEQEa0,Sunburst,ORG
HGXXOaEQEa0,Sunburst,ORG
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Shins,PERSON
HGXXOaEQEa0,Shins,PERSON
HGXXOaEQEa0,Shins,PERSON
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,Sun,LOC
HGXXOaEQEa0,Sun,LOC
HGXXOaEQEa0,Sun Burst,NORP
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Burst,NORP
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Burst,NORP
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Bend Bend,ORG
HGXXOaEQEa0,Bend Bend,ORG
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,Center,GPE
HGXXOaEQEa0,sideway,NORP
HGXXOaEQEa0,Rel,PERSON
HGXXOaEQEa0,Rel,PERSON
HGXXOaEQEa0,Rel,PERSON
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
HGXXOaEQEa0,one,CARDINAL
4nDCyJx-uPA,सिखला,PERSON
4nDCyJx-uPA,सिखला,ORG
4nDCyJx-uPA,हैं हमारे बरोदा आमंत्रण,ORG
4nDCyJx-uPA,हैं हमारे बरोदा आमंत्रण,ORG
4nDCyJx-uPA,हैं हमारे बरोदा से से से,PERSON
4nDCyJx-uPA,35,CARDINAL
4nDCyJx-uPA,से महर्षी,PERSON
4nDCyJx-uPA,35,CARDINAL
4nDCyJx-uPA,से महर्षी,PERSON
4nDCyJx-uPA,35,CARDINAL
4nDCyJx-uPA,से महर्षी,PERSON
4nDCyJx-uPA,2000,DATE
4nDCyJx-uPA,2000,DATE
4nDCyJx-uPA,2000,DATE
4nDCyJx-uPA,सिंह,NORP
4nDCyJx-uPA,हज के संस्कृति पुरस्कार से,PERSON
4nDCyJx-uPA,हज के संस्कृति पुरस्कार से,PERSON
4nDCyJx-uPA,किया गया है इनको सन,ORG
4nDCyJx-uPA,2010,DATE
4nDCyJx-uPA,किया गया है इनको सन,ORG
4nDCyJx-uPA,2010,DATE
4nDCyJx-uPA,किया गया है इनको सन 2010,ORG
4nDCyJx-uPA,आत्मानंद जी,LAW
4nDCyJx-uPA,आत्मानंद जी,LAW
4nDCyJx-uPA,पुरस्कार,ORG
4nDCyJx-uPA,किया,ORG
4nDCyJx-uPA,20,CARDINAL
4nDCyJx-uPA,किया,ORG
4nDCyJx-uPA,20,CARDINAL
4nDCyJx-uPA,किया,ORG
4nDCyJx-uPA,20,CARDINAL
4nDCyJx-uPA,का सर्टिफिकेट एक्यूप्रेशर ने पथी,PERSON
4nDCyJx-uPA,का सर्टिफिकेट एक्यूप्रेशर ने पथी,PERSON
4nDCyJx-uPA,का सर्टिफिकेट,PERSON
4nDCyJx-uPA,सा,DATE
4nDCyJx-uPA,सा,DATE
4nDCyJx-uPA,सा,GPE
4nDCyJx-uPA,का ढंग,PERSON
4nDCyJx-uPA,का ढंग,PERSON
4nDCyJx-uPA,का ढंग,PERSON
4nDCyJx-uPA,लाइट फील,ORG
4nDCyJx-uPA,लाइट फील,ORG
4nDCyJx-uPA,लाइट फील,ORG
4nDCyJx-uPA,हैं बता दु जी,ORG
4nDCyJx-uPA,हैं बता दु जी,ORG
4nDCyJx-uPA,हैं बता दु जी,ORG
4nDCyJx-uPA,लोग,CARDINAL
4nDCyJx-uPA,लोग,CARDINAL
4nDCyJx-uPA,दोनों हाथ को ऐसा दोनों हाथ को ऐसा दोनों हाथ को ऐसा देखो गर्दन,PERSON
4nDCyJx-uPA,पीछे लो गर्दन को पीछे लो,PERSON
4nDCyJx-uPA,पीछे लो गर्दन को पीछे लो,PERSON
4nDCyJx-uPA,पीछे लो गर्दन को,PERSON
4nDCyJx-uPA,पीछे लो आंखे,ORG
4nDCyJx-uPA,हैं,PERSON
4nDCyJx-uPA,हैं,PERSON
4nDCyJx-uPA,हैं,PERSON
4nDCyJx-uPA,पीछे रहना है,PERSON
4nDCyJx-uPA,हल्के से लंबी,PERSON
4nDCyJx-uPA,लेना,CARDINAL
4nDCyJx-uPA,हल्के से लंबी,PERSON
4nDCyJx-uPA,लेना,CARDINAL
4nDCyJx-uPA,हल्के से लंबी,PERSON
4nDCyJx-uPA,लेना,CARDINAL
4nDCyJx-uPA,एक्सरसाइज छोटी सी,ORG
4nDCyJx-uPA,जहां एक्सरसाइज छोटी सी,ORG
4nDCyJx-uPA,जहां एक्सरसाइज छोटी सी,ORG
4nDCyJx-uPA,वहां प्रगति है और,PERSON
4nDCyJx-uPA,वहां प्रगति है और,PERSON
4nDCyJx-uPA,वहां प्रगति है और,PERSON
4nDCyJx-uPA,वहां अधोगति,PERSON
4nDCyJx-uPA,वहां अधोगति,PERSON
4nDCyJx-uPA,वहां अधोगति,PERSON
4nDCyJx-uPA,रखना,ORG
4nDCyJx-uPA,रखना,ORG
4nDCyJx-uPA,रखना,ORG
4nDCyJx-uPA,पीछे,GPE
4nDCyJx-uPA,पीछे,GPE
4nDCyJx-uPA,एक्सरसाइज,GPE
4nDCyJx-uPA,एक्सरसाइज,GPE
4nDCyJx-uPA,संगीत,FAC
4nDCyJx-uPA,संगीत,ORG
4nDCyJx-uPA,संगीत,ORG
4nDCyJx-uPA,संगीत,ORG
4nDCyJx-uPA,संगीत,ORG
4nDCyJx-uPA,संगीत,ORG
4nDCyJx-uPA,संगीत,ORG
4nDCyJx-uPA,25,CARDINAL
4nDCyJx-uPA,25,CARDINAL
4nDCyJx-uPA,25,CARDINAL
