video_id,title,channel,upload_date,duration,view_count,year
zYuEEmmziS0,International Yoga Day 2025 | #IndianArmedForces Lead with Strength & Serenity,"Ministry of Defence, Government of India",20250620,38,335,2025
AWTD4P1OBJI,International yoga day 2025,OD-Rider-7111 ,20250621,148,11782,2025
aoIxsKGu69I,International Yoga Day 2025 | Yoga Day theme 2025 | Yoga Day Speech | Why do we celebrate Yoga day,Aspirants Yard,20250620,183,713,2025
FJdzGF3kDNw,International Yoga Day Celebration 2025 | Amba School for Excellence,Amba School for Excellence,20250620,85,11241,2025
TaMHJzT5GD8,International Yoga Day Special Quiz - International Day of Yoga Quiz - Most Important Questions,MOM&MISHKA,20250617,399,2495,2025
y2PQPmXPlzI,International Yoga Day 2025: PM Modi Leads Historic Yoga Session On Vizag's Coastline | WION,WION,20250621,415,1036,2025
etHlu9QTTRM,"LIVE Coverage: International Yoga Day 2025 | Yoga For One Earth, One Health | PM Modi LIVE | N18G",CNN-News18,20250621,28892,37319,2025
vzqMklQ5BsM,LIVE: PM Modi Leads International Yoga Day 2025 Event From Visakhapatnam | Yoga Day 2025,Times Now,20250621,20,6000,2025
LO6uqfl4Dec,International Day of Yoga 2025 || Yoga for One Earth One Health,ki & ka,20250614,325,517,2025
FuYLXHEGwDo,🎉🧘‍♀️ International Yoga Day 2025 – Celebration Highlights | Bethesda School Byrapura 🧘‍♂️🌿,"Bethesda School, Byarapura, HASSAN",20250622,28,798,2025
I_q5U4GJda0,International Yoga Day (Redmond) - 2025,Madhu Rajanna,20260519,105,21,2026
eJ86TdGHuEA,Yoga Day 2025 LIVE: Indian PM Narendra Modi Takes Part in International Yoga Day 2025 Celebrations,Firstpost,20250621,4430,2582,2025
CaQwpE-D-uQ,योग गीत - International Yoga Day Special 2025| विश्व में शांति रहेगी योग से #yogamusicforexercise,Hari Singer Patanjali,20250618,320,534231,2025
6WjueVfA_i8,"World Celebrates 11th International Yoga Day 2025 Across 1,300 Cities Globally | India Today News",India Today,20250621,580,814,2025
MAoKHa-fj0E,International Yoga Day 2025 | Yoga Performance | Bliss Yoga Udupi,Bliss Yoga Academy ,20250621,220,1602,2025
1W5pKg3bbss,"International Yoga Day 2025 | Celebrated at GIET University, Gunupur | Yoga for Wellness & Harmony",GIET University Gunupur,20250621,26,468,2025
rvqx3ykMPUw,Celebrating International Yoga Day 2025 | Yoga with Nivedita – Breathe | Align | Elevate,Nivedita Pradhan,20260510,309,70,2026
UtZhEoHiido,International Yoga Day,The Lyrical Lanterns,20250506,198,96,2025
w00785UPnbw,11th International Yoga day 2025,OM YOGA GROUP MORBI,20250620,328,1920,2025
5zV7Wb_cKCk,International Yoga Day - 2025 #yogasehoga #yogaday,Women's Dhamal with Little Stars,20250615,32,585,2025
R3BwAGO5gM4,"Mindful Earth, Peaceful People | International Yoga Day 2025 #yoga",EVAULTO,20250617,72,929,2025
Sjcx36ylebg,Irisian celebrating International Yoga Day 2025,IRIS INTERNATIONAL SCHOOL,20250623,286,696,2025
ZaA653fHNbI,"International Yoga Day Celebration 2025 -26 St Jude English Medium School, Pakshikere",ST Jude English Medium school,20250621,107,807,2025
eWjwbFEcIes,International Yoga Day 2025,IIT Kharagpur Official,20250623,7998,731,2025
ICZ5cKz14uw,International Yoga Day 2025,"Dronagiri High School English Medium, Karanja-Uran",20250621,328,939,2025
Z-p2ze9jecw,International Yoga Day Drawing | Easy Yoga Day Art|Yoga Day 2025 Drawing|Simple Yoga Poster idea,Science Scribbles,20250618,640,894,2025
e6VrBKMUWdE,International Yoga Day 2025 | Wellness for People & the Planet 🌍🧘‍♂️,Link Bharat,20250621,116,2030,2025
_czzoFZX0hE,International Yoga Day 2025 II Basil Woods School,"Basil Woods School, Hyderabad",20250621,103,1078,2025
RksEiQ09rGM,International Yoga Day Celebrations 2025 - Yoga for One Earth One Health,Diva@2speaks,20250624,1565,920,2025
LrMK9WrQ3SU,International Yoga Day 2025: PM Modi Leads Celebrations; New World Records Made | N18G,Firstpost,20250621,425,25978,2025
h7cDzRJTBqE,"International Yoga Day 2025: मोदी का योग मंत्र, अचूक अभेद्य सेहत का फ्रंट | Top News | Speech",Bharat 24 - Vision Of New India ,20250621,324,332,2025
EnuEIlD82nM,International Yoga Day 2025 - Day 1 (Prayer & Asanas),SRDAV Resource Centre,20250618,1121,1199,2025
DrSUWq4R_Uw,YOGA- International Yoga Day - 2025 - Peace ON The Street - Blessing House #song #trending #yoga,B.K. Dr. Reena,20250625,326,518,2025
Pic_WNIkM2o,INTERNATIONAL YOGA DAY 2025 -THAMARAI INTERNATIONAL SCHOOL PATTUKKOTAI,THAMARAI INTERNATIONAL SCHOOL THANJAVUR,20250622,56,1880,2025
NQkMW-u_Yqw,"Yoga Day 2025: PM Modi’s ‘One Earth, One Health’ Message Unites Wellness & Sustainability",DD India,20250621,179,1639,2025
2pEUxdJxm3U,International Yoga Day 2025,Nippon India Mutual Fund,20250621,4620,307,2025
CifvyJWnZxQ,International Yoga Day 2025: Exploring Yoga's Evolution From Ancient Practice to Modern Phenomenon,India Today,20250621,1834,1250,2025
7gZ2hpcA-E0,"INTERNATIONAL DAY OF YOGA 2025 - YOGA FOR ONE EARTH, ONE HEALTH",ICAI CA Tube,20250621,19851,2145,2025
FuJ8ggFiR_I,CELEBRATING INTERNATIONAL YOGA DAY 2025,St. Stephen's Iconic School,20250621,129,1031,2025
f0l1TH8N3fQ,International Yoga Day quiz in English 2025 | Quiz on Yoga Day | International Yoga Day 2025,Achoose World,20250616,653,6914,2025
XgPRT2axJUM,IDY -2025 - Yoga Sangam 2025 - 6 AM - 22062025 - MS,wswd 2025,20250622,5062,36,2025
-8kiR-YOgsY,IDY 2025 protocol(ENG HU),Yogahitha Foundation,20250618,3051,87,2025
_Clih3Gxw8w,CGI Jeddah celebrates International Day of Yoga (IDY - 2025),Consulate General of India Jeddah,20250623,158,62,2025
DPyvzFfcVxo,Countdown to IDY 2025 | Yoga Unplugged | Yoga for Young Mind | Shri. Vidyut Jammwal & Kaivalyadhama,Kaivalyadhama Yoga Institute,20250611,4959,3049,2025
iNE_0MHCPBg,IDY -2025 - Yoga Sangam 2025 - 6 AM - 22062025 - ES,wswd 2025,20250623,8321,44,2025
