video_id,in_phase2,in_v1,has_transcript,status
NV3VHS_AFJQ,False,True,True,legacy_only_with_transcript
NWtxybTtVmc,False,True,False,legacy_only
N_c9BgiN46Q,True,False,False,phase2_missing_transcript
NaWNtBPbMb0,False,True,False,legacy_only
NgjwKnU8Jog,True,False,False,phase2_missing_transcript
NgoTi9qxWVU,True,False,False,phase2_missing_transcript
NipuSKsq3Oc,False,True,False,legacy_only
NpaZzoUxA7Q,True,False,False,phase2_missing_transcript
NtXNYs1lPVU,False,True,True,legacy_only_with_transcript
Ntf9bQiO1p0,False,True,True,legacy_only_with_transcript
Nud3edO8rjw,False,True,False,legacy_only
Nx5f0OZT3Fo,False,True,True,legacy_only_with_transcript
NyvUjHDa0JY,True,False,False,phase2_missing_transcript
NzBfH8KCyaM,False,True,False,legacy_only
O-Pm7TwOTNI,False,True,False,legacy_only
O0tPXu8kW3s,False,True,False,legacy_only
O1R4HTgdC-A,False,True,True,legacy_only_with_transcript
O3UzA-ItA0k,True,False,False,phase2_missing_transcript
O7KtXWEzXCQ,False,True,True,legacy_only_with_transcript
O8YH7Hn5k4Y,True,False,False,phase2_missing_transcript
O8cNxp5PqKs,True,False,False,phase2_missing_transcript
O9cJozJBK_w,False,True,True,legacy_only_with_transcript
O9jEWwVDnyc,True,False,False,phase2_missing_transcript
OCyFGMOFKt8,True,False,False,phase2_missing_transcript
ODuBxm5P1FQ,True,False,False,phase2_missing_transcript
OEBcG4-_SY4,False,True,True,legacy_only_with_transcript
OHowmPxVq1c,False,True,False,legacy_only
OUvg2rnnn-M,False,True,True,legacy_only_with_transcript
OWcoPzas0Tc,True,False,False,phase2_missing_transcript
OZPYoTwVGm4,True,False,False,phase2_missing_transcript
OcKTF01z-JM,True,False,False,phase2_missing_transcript
OfHrOE6t1h0,True,False,False,phase2_missing_transcript
Ofx6MXZZ6EE,False,True,True,legacy_only_with_transcript
OghYPFzSChg,True,False,False,phase2_missing_transcript
Ojjig7LZ6Yk,False,True,False,legacy_only
OkVZA6fQ9Qw,True,False,False,phase2_missing_transcript
