video_id,captions_available,languages,auto_generated
kw4G_lFolN8,True,hi,True
0OCahmfR-do,True,en,True
YqBK6R_wCTs,True,en,True
vSAjQ2TJylE,True,en,True
kC8obfUPN1I,True,en,True
sHqUVG00auM,True,en,True
_XD1y8gB5uw,True,en,True
FScktN86c9M,True,en,True
tNjjAkVRo7o,True,en,True
DsV7FJ0Xvnk,True,en,True
