video_id,title,channel,upload_date,duration,view_count,source_corpus,uploader,like_count,webpage_url,description,has_transcript,word_count,status,cluster
LRHh5TvYyV0,happy international Yoga Day in 2024..... yoga for self and society.......,Vartika Pandey,20240620,183.0,137,phase2,,,,,True,,transcript_available,1
ISu5u2-Q_Es,Essay/Speech on International Yoga Day 2024 Theme:Yoga for Self and Society Essay/Speech Yoga Day,Privi Creation,20240621,191.0,32,phase2,,,,,True,,transcript_available,4
3eKZF98ixLk,ASP PweDay: Gentle Yoga for Self-Care,Autism Society Philippines,20210208,2771.0,70,phase2,,,,,True,,transcript_available,6
RZwNsXv-tWc,International Yoga Day 2024 | June 21| Yoga for self and society| Bhagyathaara,ARYATARA AYURNIKETAN,20240618,180.0,1047,phase2,,,,,True,,transcript_available,7
YwMEcKsq_R0,Yoga for Self and Society,EMPC-IGNOU,20240620,3205.0,283,phase2,,,,,True,,transcript_available,2
ozzlSxcDp6o,International Yoga Day with School Children - Yoga for Self and Society,Divya Sai Institute of Yoga & Therapy,20240622,535.0,32,phase2,,,,,True,,transcript_available,1
3siCZ0OOmKw,Yoga for Self and Society #yogaeveryday #habuild #yogaday,Swastha,20240622,12.0,23,phase2,,,,,True,,transcript_available,7
MS4cYZRrCd0,😍Happy International Yoga Day 🧘🏻‍♀️|  Yoga for self and society 💯 🕉️| Yoga Challenge,Pooja Arya,20240621,117.0,44,phase2,,,,,True,,transcript_available,1
hFpm0Q6hFTc,How to build a healthy society through Yoga,"Yoga Gita, Practising the Science of Consciousness",20160301,462.0,1937,phase2,,,,,True,,transcript_available,1
PMv5_AtWlzM,Yoga for self and society….international yoga day … join yogamahostav @ Nirvana Yoga Fitness Studio,Nirvana Yoga Fitness Studio,20240620,136.0,54,phase2,,,,,True,,transcript_available,1
7jc1TMMnEbM,Freedom from the Self: A Study of the Yoga Sutras with Ravi Ravindra - 4 | Theosophical Classic 2016,Theosophical Society,20260125,3716.0,696,phase2,,,,,True,,transcript_available,1
aIuo_SLGMVc,Yoga for Self and Society | International YOGA Day | PSP KALA NILAYAM #Internationalyogaday #yoga,PSP KALA NILAYAM,20240621,206.0,160,phase2,,,,,True,,transcript_available,1
ARaE7X4CLoU,PM Modi on 'Yoga for Self and Society' at Int'l Yoga Day in Srinagar | Amaravati Today,AT World News,20240621,64.0,0,phase2,,,,,True,,transcript_available,4
HH6Dy5uoTCg,"YOGA for SELF And society.. purified Thoughts, Strongly Bound Society",VIRENDRA DR,20240621,75.0,6,phase2,,,,,True,,transcript_available,2
ShS9Lelo9V8,"Observed International Yoga Day 2024 under the theme: ""Yoga for Self and Society "".",Government Secondary School Hathidhunga ,20240622,112.0,95,phase2,,,,,True,,transcript_available,1
BrTzLPa_GkA,Yoga for Self and Society  #Internationalyogaday2024 #yoga #yogaday2024,Crazy Videographer,20240619,478.0,43,phase2,,,,,True,,transcript_available,1
WwaHfZiLoXk,international yoga day...yoga for self and society,Explore the divinity,20240626,193.0,8,phase2,,,,,True,,transcript_available,1
TBxnBuUNiBE,International Day of Yoga: Yoga for Self and Society | NESWSD 2024,Navjeevan neswsd,20240621,172.0,24,phase2,,,,,True,,transcript_available,2
WG4UmATp1Vs,Webinar on   Yoga for Self and Society   20th June 2024,IGNOU BANGALORE,20240620,2116.0,52,phase2,,,,,True,,transcript_available,1
0wJKeCwiNTM,"10th International Yoga Day , yoga for self and society 🙏",Rebootwithnidhi ,20240622,167.0,7,phase2,,,,,True,,transcript_available,1
np32NBA0XiU,"Happy 10th International Yoda Day | Theme 2024 ""Yoga for Self and Society"" | DYTTITUDE",DYTTITUDE | Diet Yoga Attitude Dyttitude,20240621,40.0,55,phase2,,,,,True,,transcript_available,1
ODuBxm5P1FQ,A talk with Charu on International Yoga Day - Yoga for Self and Society,Mokshalaya - by Kankana,20240621,685.0,333,phase2,,,,,True,,transcript_available,9
