video_id,filename,filepath,priority,word_count,character_count
V4QOUPfdhzk,V4QOUPfdhzk.txt,data/transcripts/V4QOUPfdhzk.txt,4,2315,17584
VHEbukPnpoU,VHEbukPnpoU.txt,data/transcripts/VHEbukPnpoU.txt,4,196,787
VR0brYQrBTA,VR0brYQrBTA.txt,data/transcripts/VR0brYQrBTA.txt,4,660,3559
Vk6H0oT1n2U,Vk6H0oT1n2U.en.txt,data/transcripts/Vk6H0oT1n2U.en.txt,2,119,719
VuvYdsYQnH4,VuvYdsYQnH4.txt,data/transcripts/VuvYdsYQnH4.txt,4,336,2008
WByunqNwPQU,WByunqNwPQU.en.txt,data/transcripts/WByunqNwPQU.en.txt,2,174,904
WMFphvkfX1E,WMFphvkfX1E.txt,data/transcripts/WMFphvkfX1E.txt,4,6166,34174
WXuj8s3xYo8,WXuj8s3xYo8.en.txt,data/transcripts/WXuj8s3xYo8.en.txt,2,958,5563
WrMB_KCXHPg,WrMB_KCXHPg.txt,data/transcripts/WrMB_KCXHPg.txt,4,2577,15732
WxdR0Vmm8QA,WxdR0Vmm8QA.en-orig.txt,data/transcripts/WxdR0Vmm8QA.en-orig.txt,1,8,59
X-AEzhkysCg,X-AEzhkysCg.en-orig.txt,data/transcripts/X-AEzhkysCg.en-orig.txt,1,8,65
X3FKttoVT8k,X3FKttoVT8k.txt,data/transcripts/X3FKttoVT8k.txt,4,10000,50356
X7C8INDnWh0,X7C8INDnWh0.en-orig.txt,data/transcripts/X7C8INDnWh0.en-orig.txt,1,8,45
XZtA3D5fdJs,XZtA3D5fdJs.txt,data/transcripts/XZtA3D5fdJs.txt,4,7797,42175
XaQqwIuvDnM,XaQqwIuvDnM.en-orig.txt,data/transcripts/XaQqwIuvDnM.en-orig.txt,1,340,1853
Xqxd3CR-EOg,Xqxd3CR-EOg.en-orig.txt,data/transcripts/Xqxd3CR-EOg.en-orig.txt,1,13314,69781
YdBlP7DlYek,YdBlP7DlYek.en-orig.txt,data/transcripts/YdBlP7DlYek.en-orig.txt,1,1882,10412
YfPwMRCAzj4,YfPwMRCAzj4.txt,data/transcripts/YfPwMRCAzj4.txt,4,14091,65296
YjFYaNyfq4Y,YjFYaNyfq4Y.en.txt,data/transcripts/YjFYaNyfq4Y.en.txt,2,878,5041
Z6jMEMLRfXI,Z6jMEMLRfXI.txt,data/transcripts/Z6jMEMLRfXI.txt,4,2681,13342
Z8ASYVjkEOg,Z8ASYVjkEOg.en-orig.txt,data/transcripts/Z8ASYVjkEOg.en-orig.txt,1,572,3072
ZEzs6A3wiW0,ZEzs6A3wiW0.txt,data/transcripts/ZEzs6A3wiW0.txt,4,1198,6528
ZFuazWOx7eQ,ZFuazWOx7eQ.en-orig.txt,data/transcripts/ZFuazWOx7eQ.en-orig.txt,1,27,170
ZNmXEDIpuXg,ZNmXEDIpuXg.txt,data/transcripts/ZNmXEDIpuXg.txt,4,7138,40247
ZO0yj8NEb4g,ZO0yj8NEb4g.txt,data/transcripts/ZO0yj8NEb4g.txt,4,959,4458
ZQt8OSTmXj0,ZQt8OSTmXj0.en.txt,data/transcripts/ZQt8OSTmXj0.en.txt,2,3810,23737
Zb3NOnN70pQ,Zb3NOnN70pQ.txt,data/transcripts/Zb3NOnN70pQ.txt,4,6597,44926
ZbicnLm4Upw,ZbicnLm4Upw.txt,data/transcripts/ZbicnLm4Upw.txt,4,1605,8173
Zfeh1FUs-Ho,Zfeh1FUs-Ho.en.txt,data/transcripts/Zfeh1FUs-Ho.en.txt,2,1331,7665
Zw9gOSluAgs,Zw9gOSluAgs.en-orig.txt,data/transcripts/Zw9gOSluAgs.en-orig.txt,1,814,4318
_RfGDud954c,_RfGDud954c.en-orig.txt,data/transcripts/_RfGDud954c.en-orig.txt,1,9555,49918
_W9uV2M5Lk4,_W9uV2M5Lk4.en-orig.txt,data/transcripts/_W9uV2M5Lk4.en-orig.txt,1,132,764
aFcZReES734,aFcZReES734.en-orig.txt,data/transcripts/aFcZReES734.en-orig.txt,1,1042,6346
aJcRd6zIqUw,aJcRd6zIqUw.txt,data/transcripts/aJcRd6zIqUw.txt,4,804,4350
aJouQlY2EXA,aJouQlY2EXA.en-orig.txt,data/transcripts/aJouQlY2EXA.en-orig.txt,1,1642,8996
aRZPKYnfYS0,aRZPKYnfYS0.en-orig.txt,data/transcripts/aRZPKYnfYS0.en-orig.txt,1,93027,520233
acHlKJjhxBs,acHlKJjhxBs.txt,data/transcripts/acHlKJjhxBs.txt,4,117,774
acfiSv4S9aY,acfiSv4S9aY.en-orig.txt,data/transcripts/acfiSv4S9aY.en-orig.txt,1,2671,14438
ad8IrsK5oTc,ad8IrsK5oTc.en.txt,data/transcripts/ad8IrsK5oTc.en.txt,2,244,1578
agqZWtuol2E,agqZWtuol2E.txt,data/transcripts/agqZWtuol2E.txt,4,15200,76533
atFX3FjIx4Y,atFX3FjIx4Y.en-orig.txt,data/transcripts/atFX3FjIx4Y.en-orig.txt,1,17772,91033
azMcABrZNuo,azMcABrZNuo.en-orig.txt,data/transcripts/azMcABrZNuo.en-orig.txt,1,7883,43370
