title,year,authors,venue,citations,url
A brief qualitative survey on the utilization of Yoga research resources by Yoga teachers,2016,['AB Bhavanani'],Journal of Intercultural Ethnopharmacology,13,https://pmc.ncbi.nlm.nih.gov/articles/PMC4835992/
International yoga day 2016: A call for analysis of one month training program on the health benefits of PM's call for yoga,2016,"['A Anand', 'N Sayal']",Annals of Neurosciences,4,https://pmc.ncbi.nlm.nih.gov/articles/PMC5043221/
"Mitos, hitos y gritos en la internacionalización del yoga 1/Myths, milestones, and claims: the internationalization of yoga",2016,['A Muñoz'],"'Ilu, Revista de Ciencias de las Religiones",4,https://www.researchgate.net/profile/Adrian-Munoz-2/publication/310749518_Mitos_hitos_y_gritos_en_la_internacionalizacion_del_yoga/links/62dedc7b82bb472992a1d4bc/Mitos-hitos-y-gritos-en-la-internacionalizacion-del-yoga.pdf
"'Yoga for Lifestyle Diseases': Conference held on 2nd International Day of Yoga-2016 at Kolar, India",2016,"['NJ Patil', 'PN Venkatarathnamma']",Journal of Ayurveda …,3,https://pmc.ncbi.nlm.nih.gov/articles/PMC7272779/
International Day of Yoga,2016,['CY Protocol'],"Ministry of AYUSH, Government of …",2,https://embassyofindiabangkok.gov.in/public/assets/pdf/Common-Yoga-Protocol-2016-in-Eng.pdf
"Indian PM's International Yoga Day 2016 advocacy: trends, advances and future perspectives",2016,"['A Anand', 'S Telles']",Integrative Medicine International,2,https://go.gale.com/ps/i.do?id=GALE%7CA599442102&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=22967362&p=HRCA&sw=w
International Yoga Day,2016,['GS Pardeshi'],… of Krishna Institute of Medical Sciences University,1,"http://www.jkimsu.com/jkimsu-vol5no1/JKIMSU,%20Vol.%205,%20No.%201,%20Jan-March%202016%20Page%201-4.pdf"
"Yoga For Lifestyle Diseases BConference Held On 2Nd International Day Of Yoga-2016 At Kolar, India",2016,"['NJ Patil', 'PN Venkatarathnamma', 'S RamchandraRao']",NA,1,https://dspace.sduaher.ac.in/jspui/bitstream/123456789/6893/1/145.pdf
"Studying at the source: Ashtanga yoga tourism and the search for authenticity in Mysore, India",2015,['CB Maddox'],Journal of Tourism and Cultural Change,121,https://www.tandfonline.com/doi/abs/10.1080/14766825.2014.972410
Competitive charity: A neoliberal culture of 'giving back'in global yoga,2015,['A Koch'],Journal of Contemporary Religion,30,https://www.tandfonline.com/doi/abs/10.1080/13537903.2015.986977
International yoga day: Positive step toward global health,2015,['AB Mane'],International Journal of Yoga,12,https://journals.lww.com/ijoy/fulltext/2015/08020/International_yoga_day__Positive_step_toward.18.aspx
“YOGA FOR PROMOTION OF HEALTH”: CONFERENCE HELD ON INTERNATIONAL DAY OF YOGA-2015 AT KOLAR,2015,"['A Bhattacharyya', 'NJ Patil']",Journal of Ayurveda …,10,https://pmc.ncbi.nlm.nih.gov/articles/PMC4719494/
Message from international yoga day,2015,['G Pal'],International Journal of Clinical and Experimental …,0,https://go.gale.com/ps/i.do?id=GALE%7CA423552678&sid=googleScholar&v=2.1&it=r&linkaccess=abs&issn=23488093&p=AONE&sw=w
Yoga and Basic Medical Sciences First Year of International Day of Yoga 21 June 2015,2015,['J Bhatt'],Indian Journal of Applied Basic Medical Sciences,0,https://indianjournals.com/api/article-view/ijabms-17b-25-editorial
Yoga and health,2014,['DK Taneja'],Indian Journal of Community Medicine,205,https://journals.lww.com/ijcm/fulltext/2014/39020/yogaandhealth.3.aspx
The Spirit and Meaning of Globalized Yoga: A Case Study on the Sivananda Yoga Vedanta Centres,2014,['L Klepinger-Mathew'],Electronic Document,5,https://www.academia.edu/download/35406506/Spirit_and_Meaning_of_Globalized_Yoga.pdf
Gurus of modern yoga,2013,"['M Singleton', 'E Goldberg']",NA,141,https://books.google.com/books?hl=en&lr=&id=walBCgAAQBAJ&oi=fnd&pg=PP1&dq=International+Day+of+Yoga&ots=xSebtbH563&sig=lo6X-CojFjY4pl1cmferhGS301U
Transnational exchange and the genesis of modern postural yoga,2013,['M Singleton'],Yoga traveling: Bodily practice in transcultural …,58,https://link.springer.com/chapter/10.1007/978-3-319-00315-3_2
The social life of yoga: Exploring transcultural flows in India,2013,['M Nichter'],Yoga traveling: bodily practice in transcultural …,23,https://link.springer.com/chapter/10.1007/978-3-319-00315-3_9
Glocal yoga: Re-appropriation in the Indian consumptionscape,2012,"['S Askegaard', 'GM Eckhardt']",Marketing Theory,193,https://journals.sagepub.com/doi/abs/10.1177/1470593111424180
"Yoga, brief history of an idea",2012,['DG White'],NA,142,https://www.academia.edu/download/96956029/Abhinava_Prabandhan_Final_for_print_26_12_2022_.pdf#page=129
Yoga body: The origins of modern posture practice,2010,['M Singleton'],NA,1214,https://books.google.com/books?hl=en&lr=&id=tUgBIrn5REwC&oi=fnd&pg=PR5&dq=International+Day+of+Yoga&ots=QZuFr5T9J-&sig=Y75qbm4eMHWejT3O_UbW0QCOR-Q
Corporate yoga and its implications,2010,"['R Bhandari', 'B Acharya', 'VK Katiyar']",… In Conjunction with 14th International …,18,https://link.springer.com/chapter/10.1007/978-3-642-14515-5_75
The development of modern yoga: A survey of the field,2009,['S Newcombe'],Religion Compass,158,https://compass.onlinelibrary.wiley.com/doi/abs/10.1111/j.1749-8171.2009.00171.x
Yoga in the modern world,2008,"['M Singleton', 'J Byrne']",NA,210,https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203894996&type=googlepdf
"Spiritual & Yoga tourism: A casestudy on experience of Foreign tourists visiting Rishikesh, India",2008,"['AK Aggarwal', 'M Guglani', 'RK Goel']",NA,141,https://www.researchgate.net/profile/Adarsh-Aggarwal/publication/242283283_Spiritual_Yoga_Tourism_A_case_study_on_experience_of_Foreign_Tourists_visiting_Rishikesh_India/links/5407e9af0cf2c48563b88112/Spiritual-Yoga-Tourism-A-case-study-on-experience-of-Foreign-Tourists-visiting-Rishikesh-India.pdf
"“Adapt, Adjust, Accommodate”: The Production of Yoga in a Transnational World",2008,['S Strauss'],Yoga in the Modern World,36,https://api.taylorfrancis.com/content/chapters/edit/download?identifierName=doi&identifierValue=10.4324/9780203894996-11&type=chapterpdf
The 'world of yoga': The production and reproduction of therapeutic landscapes,2007,['AC Hoyez'],Social science & medicine,225,https://www.sciencedirect.com/science/article/pii/S027795360700113X
The commodification and exchange of knowledge in the case of transnational commercial yoga,2006,['A Fish'],International Journal of Cultural Property,139,https://www.cambridge.org/core/journals/international-journal-of-cultural-property/article/commodification-and-exchange-of-knowledge-in-the-case-of-transnational-commercial-yoga/2F84C588FF2B2E90BDCFAF8281E67B76
Fear of yoga,2006,['R Love'],Columbia Journalism Review,15,https://search.proquest.com/openview/16f5923f805fc6008de6ad1cb04235cd/1.pdf?pq-origsite=gscholar&cbl=35114
Beneficial effects of yoga lifestyle on reversibility of ischaemic heart disease: caring heart project of International Board of Yoga.,2004,"['J Yogendra', 'HJ Yogendra', 'S Ambardekar', 'RD Lele']",JAPI,207,https://www.academia.edu/download/93027363/O-283.pdf
""" Adapt, adjust, accommodate"": The production of yoga in a transnational World",2002,['S Strauss'],History and anthropology,76,https://www.tandfonline.com/doi/abs/10.1080/0275720022000025556
